GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS
22/12/2022	1610612740	126	1	0.926	0.382	25	46	1
22/12/2022	1610612762	120	2	0.952	0.457	16	40	1
21/12/2022	1610612755	113	4	0.909	0.297	27	49	1
21/12/2022	1610612755	113	3	0.909	0.297	27	49	1
21/12/2022	1610612755	113	6	0.909	0.297	27	49	1
21/12/2022	1610612755	113	6	0.909	0.297	27	49	1
21/12/2022	1610612755	113	6	0.909	0.297	27	49	1
21/12/2022	1610612755	113	9	0.909	0.297	27	49	1
21/12/2022	1610612755	113	10	0.909	0.297	27	49	1
21/12/2022	1610612755	113	7	0.909	0.297	27	49	1
21/12/2022	1610612755	113	10	0.909	0.297	27	49	1
21/12/2022	1610612755	113	7	0.909	0.297	27	49	1
21/12/2022	1610612755	113	10	0.909	0.297	27	49	1
21/12/2022	1610612755	113	7	0.909	0.297	27	49	1
21/12/2022	1610612755	113	5	0.909	0.297	27	49	1
21/12/2022	1610612755	113	7	0.909	0.297	27	49	1
21/12/2022	1610612755	113	8	0.909	0.297	27	49	1
21/12/2022	1610612755	113	8	0.909	0.297	27	49	1
21/12/2022	1610612755	113	11	0.909	0.297	27	49	1
21/12/2022	1610612755	113	12	0.909	0.297	27	49	1
21/12/2022	1610612755	113	16	0.909	0.297	27	49	1
21/12/2022	1610612755	113	13	0.909	0.297	27	49	1
21/12/2022	1610612755	113	17	0.909	0.297	27	49	1
21/12/2022	1610612755	113	20	0.909	0.297	27	49	1
21/12/2022	1610612755	113	30	0.909	0.297	27	49	1
21/12/2022	1610612755	113	50	0.909	0.297	27	49	1
21/12/2022	1610612755	113	15	0.909	0.297	27	49	1
21/12/2022	1610612755	113	20	0.909	0.297	27	49	1
21/12/2022	1610612755	113	35	0.909	0.297	27	49	1
21/12/2022	1610612755	113	25	0.909	0.297	27	49	1
21/12/2022	1610612755	113	15	0.909	0.297	27	49	1
21/12/2022	1610612755	113	20	0.909	0.297	27	49	1
21/12/2022	1610612755	113	20	0.909	0.297	27	49	1
21/12/2022	1610612755	113	36	0.909	0.297	27	49	1
21/12/2022	1610612755	113	27	0.909	0.297	27	49	1
